position,requirements,description,benefits
CDL Team Truck Driver and Lease Operators +,Valid Class A CDL license. 6 months of tractor trailer driving experience. N/A 6 months of tractor trailer driving experience required N/A,Transport freight and operate a tractor trailer for long distances safely and on time. Work closely with co-driver as a team.,"Company drivers start at $.49/mile. Monthly safety and performance bonuses. Vacation, health insurance, paid time off. Lease operators earn $1,600/week minimum pay. Fuel program, maintenance plan, savings plan."
CDL-A Flatbed Truck Driver,1+ years of CDL A experience driving flatbeds. Tanker endorsement (or willing to obtain within 30 days). Clean driving record with 2 or fewer moving violations and 1 preventable accident in past 3 years. Minimum 25 years of age. N/A 1+ years of CDL A flatbed driving experience required. Applicable military experience accepted in lieu of 2 years requirement.,"Drive flatbed trucks to transport freight, adhering to safety procedures and transportation regulations. Load, secure and unload cargo. Conduct inspections and maintenance. Complete documentation and trip planning.","$65,000-$75,000 average annual pay. Guaranteed pay with mileage pay on top. $1,200 sign on bonus and referral bonuses. Paid uniforms, health benefits with company-paid premiums, 401K with 4% match."
CDL Local Route Delivery Truck Driver,"Valid CDL, clean MVR and PSP, ability to maneuver heavy objects, excellent customer service and communication skills, ability to carry out instructions with minimal supervision. N/A At least 21 years old. HAZMAT endorsement, Moffett/Skelly or air brake experience.","Make safe, complete, accurate and on-time deliveries to customers while complying with DOT and other regulations. Load and unload vehicle, collect payments, document deliveries, complete vehicle inspections and maintenance.","Generous compensation and benefits package including medical, dental, vision, 401k with company match."
"CDL A Team Drivers - Sign-On Bonus Up To $10,000!","Valid Class A CDL license, minimum 1 year tractor trailer driving experience, ability to pass DOT inspections and meet DOT requirements, strong communication skills N/A Minimum 1 year tractor trailer driving experience Hazmat endorsement, no accidents in past 3 years, clean driving record",Safely operate a tractor trailer as part of an over-the-road driving team. Deliver freight on time while adhering to safety regulations and company policies.,"Up to $10,000 sign-on bonus, average $60,000 per year, paid vacation, medical/dental/life insurance"
Class A - Regional Truck Driver - Home Weekly - Out 2 Days or Less,"Valid CDL-A with tanker endorsement. Hazmat and TWIC certifications. 1-2 years of tractor trailer experience. Knowledge of pneumatic trailers, tank trailers, tractor and semitrailer. N/A 1-2 years of tractor trailer experience required. N/A",Transporting goods via tractor trailer. Maintaining and operating the truck and trailer. Adhering to all transportation regulations and safety requirements.,Competitive CPM pay. Minimum salary of $55k/yr. Sign on bonus. Union benefits. Frequent home time. Referral bonus.
Solo Class A CDL Driver,Valid Class A CDL license. Acceptable CSA score and background. Previous truck driving experience. N/A Previous truck driving experience required. N/A,Responsible for driving and delivering freight using a Class A CDL truck. Adhering to safety regulations and transportation laws.,Up to $0.50 per mile and sign-on bonus. Weekly payroll. Benefits package including medical insurance.
CEO - Cannabis & Investment,"10+ years in senior leadership roles, CEO/COO experience, fundraising track record ($1M+), sales and marketing experience, financial management, startup experience, business and corporate development skills, capital raising experience, negotiation skills. N/A 10+ years experience in a senior leadership role, 2+ years as a CEO/COO Background in cannabis, agriculture, horticulture, wellness, CPG or medical products industries. Existing investor network.","Responsible for leading the company, fundraising, developing go-to-market strategy, financial management, business growth, building partnerships and alliances.",Equity compensation. Small monthly salary until fundraising milestones are met.
Customer Service Representative - Remote,"2+ years customer service experience, proficiency in Microsoft Office Suite, effective communication and interpersonal skills, analytical and problem solving skills. High school diploma required. 2 years Experience using JD Edwards, automotive experience.","Provide customer support via phone and email, respond to customer inquiries, process orders and returns, coordinate order fulfillment and delivery, maintain records of customer interactions, identify solutions to resolve customer issues.",Không
Customer Service Representative (Work at Home),"Working knowledge of shipping procedures and practices, inventory control processes and procedures, call center experience. Excellent communication, interpersonal and professional skills. Ability to work with internal staff from other departments. Customer service skills. Planning and organizational skills. Problem solving skills. Judgment skills. Detail oriented. High school diploma or GED required, college degree preferred 2 years customer service experience N/A","Answer incoming calls and emails from TMs, research and provide order information. Process orders including new, cancellation or additions. Enter and update vendor drop ship orders. Back orders if item is out of stock, check ETA. Research and obtain ETA, proof of delivery, shipment tracking and returns info as needed. Prepare and send order acknowledgements. Inform TM and customer of procedures, order status and resolution of problems.",Không
Marketing Specialist/ Brand Marketing || Work from Home,"Proficient in marketing, advertising, media and promotions concepts and practices. Well demonstrated creative judgment and familiarity developing advertising creative and/or sports marketing promotions. An ability to think both creatively and strategically. Ability to effectively manage multiple projects simultaneously, perform under pressure and pay close attention to detail while staying focused on the big picture. Excellent organizational and written/verbal communication skills while focusing on project completion and cross-functional management. N/A Typically 2 or more years of related experience in marketing, advertising, media or promotions management. Advertising/promotions agency experience is preferred. N/A","Assists with the development, execution and management of advertising, promotions and/or sponsorships to drive awareness, consideration and brand image for client. Assists with the development of local marketing campaigns, sports advertising development/implementation, market activation programs in priority markets, development/implementation of sweepstakes/contests, and onsite activation programs for sports events.",Không
Marketing Specialist,"2+ years marketing experience, BS degree in marketing or related field, excellent writing and communication skills BS degree in marketing or related field 2+ years of marketing experience N/A","Create and distribute marketing content, run online/offline campaigns and events, collaborate with sales team, track and analyze campaign performance",Không
Marketing Event Coordinator,"Computer literacy (MacOS, Windows, iOS, Android), ability to demonstrate products, strong interpersonal and communication skills, ability to set up displays and booths, generate product buzz, complete client applications, track marketing data N/A N/A N/A","Assisting in the collaboration and organization of events, working with brand ambassadors during events, setting up/breaking down displays, interacting with clients and customers, training and motivating brand ambassadors, providing feedback on events",Không
Project Manager (CCR focused),"Minimum of bachelor of science in civil or environmental engineering, geology/hydrogeology, environmental science or related field. Masters degree highly preferred. Minimum of 10 years of environmental experience. Computer skills – strong computer literacy skills including proficiency in industry standard software. OSHA, HAZWOPER and MSHA/New Miner training required. Familiarity with earthwork site/civil geotechnical stormwater aspects of residential/commercial/industrial projects is expected. Minimum of bachelor of science in civil or environmental engineering, geology/hydrogeology, environmental science or related field. Masters degree highly preferred. Minimum of 10 years of environmental experience Experience in engineering design supporting site/civil and geoenvironmental projects associated with site civil development, heavy industry and waste management. Coal combustion residual (CCR) and industrial/solid waste management experience a plus.","Understand client needs and develop strong client relationships. Be capable of managing financial and technical aspects of projects. Execute projects to meet technical, quality, budgetary and scheduling requirements. Demonstrate very strong verbal communications and written skills including client deliverables and regulatory submittals. Be effective in assigning and managing work. Demonstrate strong coaching and mentoring skills. Have skills in quality control planning, cost estimating and scheduling. Have experience in planning and directing environmental field observation and testing programs including laboratory test selection and data evaluation. Work collaboratively and lead multidisciplinary project teams on all aspects the project to address client goals and objectives with primary focus on site investigations to delineate the extent of contamination in soil, sediment, groundwater, surface water and soil gas including Phase I/Phase II environmental assessments, developing remedial alternative analysis assessments and remedial action work plans.",Không
Infrastructure Services Project Manager,"Valid license, good driving record and ability to obtain and maintain a valid DOT medical card. CDL license a plus. Current NASSCO certifications (PACP, MACP, LACP) a plus. Ability to work in varying conditions (heat & cold). Physically able to wear personal protective equipment (PPE) when necessary and lift 50+ lbs routinely. Accountability and punctuality. Proficient in reading and understanding blueprints and construction drawings. Proficient in the use of computers including word processing, data base management, spreadsheets, email and internet. N/A N/A N/A","Provide direction and supervision to staff in the field. Confer regularly with current customers in person and by telephone to provide information about products or services or obtain details of concerns. Confer with operations manager on policy interpretation and implementation. Participate in routine meetings, conference calls, seminars and conferences. Ensure all work is performed in accordance with safety policies and regulations to promote a safe working environment. Account for hours and materials expended by crew members to minimize labor cost through daily/weekly/monthly tracking reports. Read and interpret utility maps & prints to identify the type and size of underground utilities. Develop a work breakdown schedule with milestones for project completion that effectively allocates the resources to the activities and review with senior management as well as updating schedules as a result of delays due to weather, supply issues, etc.","Competitive pay. Paid time off (PTO). 401k plan with employer match. Life, ADD, Short term and Long term disability & Employee Assistance Program paid by CK. Excellent health care coverage-medical, dental and vision. Uniforms. Prescription safety glass program. Safety boot reimbursement program. Year round work."
Project Manager 100% Remote,"Minimum 5 years of demonstrated success in a project manager role leading complex technical development projects, excellent project management skills, ability to organize and prioritize multiple tasks and meet deadlines, excellent negotiating and persuasive skills, ability to identify engineering problems and drive resolution N/A Minimum 5 years in a project manager role leading complex technical development projects Experience working as an agile product owner or product manager, ability to elicit high-level requirements from business and technical stakeholders and translate into detailed prioritized backlog","Managing projects that support organizational goals, coordinating ongoing operations activities driving timely completion of tasks, driving assigned projects and tasks to closure by bringing together stakeholders for decision-making, reporting progress and status of projects to leadership, aligning and tracking projects and tasks, utilizing standard project management processes to deliver innovation quickly with excellent quality",Không
Environmental Project Manager,"BS in any science or engineering fields. Minimum 5 years of experience to include work related to environmental site investigation & remediation. Minimum of 1 year of supervisory experience. Experience with implementation and supervision of health and safety requirements. Efficient in Excel, Word, PDF, PowerPoint, Outlook, etc. Must possess outstanding problem solving and report writing/editing skills. Ability to manage multiple tasks and work independently. Must be able to pass intimal drug screen and five year motor vehicle background check. BS in any science or engineering fields Minimum 5 years of experience PE or PG certification consider a plus. Experience with fate & transport modeling is considered a plus.","Manage current environmental projects from proposal through the final invoice stages. Provide work assignments to support staff in execution of fieldwork and project deliverables. Efficient completion of BUSTR tiered reporting such as Tier 1, Tier 2, and Tier 3 evaluations. Contact/meet with existing clients. Assist clients with complying with local, regional, state and federal regulations for the BUSTR program.",Không
Digital Development Project Manager,"Project management, agile methodologies, digital marketing knowledge, marketing technology expertise, problem solving, communication and team leadership skills. Undergraduate degree required. Minimum of 5 years of experience in project management role. Experience in digital or marketing agency, certification in project management.","Manage digital projects end-to-end, including requirements gathering, resource allocation, delivery planning, stakeholder management, and team leadership. Optimize workflows and drive practice area growth.","Medical, dental, vision, life insurance, retirement benefits, PTO, parking subsidy."
Remote E-Commerce Technical Analyst,"2+ years experience required, 5+ years strongly preferred. 2 year degree or equivalent work experience required. Experience in Microsoft Office, PowerPoint, Excel, SAP and EDI and HTML strongly preferred. Knowledge of large enterprise project management software (JIRA) preferred. Knowledge of complex technical concepts and how to express them in business terms. Strong technical skills and general technical background to support recommendations and solutions as needed. Strong analytical, problem solving and conceptual skills. Strong verbal and written communication skills. Strong organizational and multitasking skills to handle multiple deployments simultaneously. Ability to work independently and make sound decisions based on a mix of analysis, experience and judgment. Ability to work effectively with people across all levels of the organization. 2 year degree or equivalent work experience required Minimum of 2 years experience required, 5 years strongly preferred Experience in Microsoft Office, PowerPoint, Excel, SAP and EDI and HTML strongly preferred. Knowledge of large enterprise project management software (JIRA) preferred.","Work with ebusiness analysts and customers to identify technical solutions needed for customers. Propose, design and deliver technical solutions according to required timelines. Review all customer technical specifications ensuring information is accurate prior to submitting to application messaging team. Work directly with technical teams to test requested changes and verify that customer technical solutions are met. Act as subject matter expert during customer meetings to discuss any technical concerns or connection issues. Perform configuration and periodic code changes to meet customer requirements. Oversee and review configuration changes before they are moved into production systems. Assist eBDMs and other integration team members with technical questions and concerns. Manage the prioritization of complex code requests for new or existing ebusiness solutions submitted to the Application Messaging team. Verify the Integration Support Analyst has documented the customer deployment accurately from a technical standpoint.","The expected rate of pay for this position is $60,000 annually. Comprehensive benefits and employee stock ownership plan. 3 weeks vacation accrued in first 6 months. Medical, dental, vision, life insurance, disability, profit sharing, 401k with match, paid vacation/sick days/holidays, employee recognition program."
Project Manager I/II- Remote,"Project management, Agile SDLC, stakeholder management, resource planning, project plan, program management, budgeting, vendor management, retail, supply chain, warehouse, MS Project N/A N/A Managing application implementations, distribution centers, SAP and/or supply chain initiatives",Manage an omni fulfillment center ecommerce implementation project. Take direction from an internal IT program manager and work with another PM on related workstreams.,Không
Ecommerce Account Manager,"Bachelors degree, 2-5 years of account/project management experience in a digital marketing agency setting Bachelors degree 2-5 years Ability to lead discussions w internal and external teams, ability to shift priorities to meet client needs, project management experience through digital platforms, ability to help clients hit goals and pivot as needed, deep understanding of digital marketing and online marketplaces, search and ecommerce experience is a plus, ability to learn on-the-go and quickly become able to add strategic value to client work, a positive attitude good sense of humor and willingness to learn new ideas","Direct account ownership, own client relationship and all communication between client and internal team, set and manage client expectations, develop client strategy based on client goals, coordinate tasks and at time manage internal teams to meet deadlines and provide deliverables, focus on client retention and client profitability, grow relationship w client and grow mrr, ability to provide support other team members on other accounts","Full benefits - 401k with match, generous pension program, thoughtful parental leave and return program, ample pto holidays and holiday closure in december, ongoing learning and development opportunities, commitment to transparent dei practices, convenient snack stocked office spaces in awesome cities"
Remote Customer Service Representative,"2+ years of customer service experience. Ability to work in a fast-paced call center environment. Intermediate computer skills including typing 45+ WPM. Proficiency in Windows applications and MS Office. Knowledge of order care processes preferred. High school diploma or GED required. 2+ years of customer service experience. Hands on experience troubleshooting depot repair equipment. Knowledge of Salesforce, Atlas ERP, SFDC ServiceMax, OLS, Talkdesk. Leasing/billing experience using multiple software systems.","Handling inbound inquiries from internal/external customers, dealers and field service offices. Troubleshooting equipment issues. Responding to emails, voicemails, faxes. Meeting call metrics and schedules.",Competitive hourly compensation. Comprehensive benefits package.
Bilingual Spanish CUSTOMER SERVICE REPRESENTATIVE Work From Home...,Ability to navigate multiple systems to resolve complex customer issues. Effective communication skills. Self-sufficiency in researching and resolving issues. Basic troubleshooting skills. Adherence to schedules and availability. Fluency in English and Spanish. N/A N/A N/A,"Answer customer questions and address customer concerns through case resolution on products and services. Provide customer support as assigned, including selling products, collecting payments, processing applications, and activating services.","Starts at $15/hr up to $19.25/hr, eligible for ATT wireless plans, internet, TV services, phone services, and accessories."
Customer Service Representative,"Excellent English communication skills (verbal and written), sales experience, team player N/A N/A Prior experience in sales, vacancy/real estate knowledge ","Answering inbound calls, making outbound calls/emails/texts to customers, closing deals","$12-15 per hour base, with commissions bringing total comp to $20-30 per hour. Hourly wage based on experience."
Customer Service Representative / Remote,"Previous experience in customer service, sales, or related fields, ability to build rapport with clients, prioritize and multitask, professional and positive demeanor, excellent communication skills N/A N/A Entrepreneurial mindset, team player, works well under pressure","Answer customer questions regarding their coverage, develop and maintain knowledge base of products and services, regularly review agreements to develop more cost-effective plans","Weekly pay, bonuses, residual income, company-paid trips, remote work"
Part-Time Customer Service Representative (Remote),High school diploma or equivalent. Business/professional communication skills. Customer service experience. Working knowledge of Microsoft Office systems. Ability to thrive in a fast-paced work environment with low mobility and high observation. Ability to maintain a positive approach and demonstrate flexibility and teamwork. High school diploma or equivalent. N/A Bilingual capabilities.,"Handles and resolves general product or service calls from consumers by identifying the issue, determining the cause of the problem and selecting and explaining the best resolution. Escalates complex issues to the lead product consultants.",Không
Remote Customer Service Associate,"High school diploma or equivalent, able to pass background check, reliable internet not on WiFi, availability between 5am-10pm EST, located in specific states High school diploma or equivalent N/A N/A","Answering customer questions, resolving account issues, providing exceptional customer service, gathering information to update accounts, performing routine call center tasks related to products/services","$15/hour, paid training, full-time schedule, full benefits, career growth opportunities"
Work From Home Customer Service Representative,Excellent verbal and written communication skills. Ability to multitask and adapt in a fast-paced environment. Computer navigation skills to toggle between systems. High school 2 years N/A,"Handling a high volume of inbound calls to answer questions, provide education and solve issues related to benefits, payroll, etc. Processing transactions like enrollments, withdrawals, leaves of absence. Communicating with third parties to assist customers.","$12 per hour, shift work required including weekends."
Talent Acquisition Specialist / Recruiter,"bachelors level degree or a minimum of 3 years of related hr experience;
2 years of recruitment/talent acquisition jobrelated experience;
2 years of experience in passive sourcing and utilizing sourcing tools ie indeed linkedin etc;
previous experience with an applicant tracking system preferably workday and managing candidates through the recruiting review and
selection process; bachelors level degree 2 years of recruitment/talent acquisition jobrelated experience extensive experience using linkedin indeed etc with experience and/or knowledge of tools such as beamery;
displays strong interpersonal skills with the ability to engage with various levels of the organization including strong written and verbal
communication skills;
recruiting experience in manufacturing and/or engineering industries;","primary recruiting contact for hiring manager continually engages with hiring managers and leaders to understand the recruiting business
needs and required skills; manage the candidate pipeline by implementing effective sourcing strategies effectively program manages recruitment campaigns as
required; manage full cycle recruiting for client groups submit background checks drug screens etc;
responsible for quality of the prospective candidates that are presented to the hiring managers for open requisitions;
partnering with business leaders and hr team members to develop and maintain effective relationships;
maintain and ensure compliance with local recruitment policies, processes;
track candidate process and minimize time to hire resume cv to offer through driving the candidate pipeline;",Không
Talent acquisition recruiter,"2+ years recruiting experience, experience sourcing and communicating with consulting/tech professionals, interviewing skills, negotiation skills, adaptability, collaboration, self-motivation, networking/interpersonal skills. N/A 2+ years recruiting experience Consulting/professional services recruiting experience, technical recruiting experience especially Atlassian tools, agile methodology familiarity.","Source, screen and interview candidates, own full life cycle recruiting, build and nurture candidate pipeline, attend industry events, assist with recruitment marketing, recommend recruiting strategies.",Không
Talent Acquisition Specialist,2+ years experience in fast-paced recruiting/sourcing environment. Able to navigate complex recruiting scenarios. Proficiency in technical recruiting and sourcing. N/A 2+ years N/A,"Responsible for full life cycle recruiting with a focus on technical roles such as software engineering and hardware engineering. Will source, interview, and hire talent.",Không
Senior Talent Acquisition Specialist,"Good understanding of TA tools (LinkedIn, ATS) and strategies, deep knowledge of TA programs/policies/processes/labor law, interviewing, compensation negotiation, business/industry factors. N/A N/A N/A","Collaborates on talent acquisition initiatives, researches TA tools/systems/principles, identifies and hires qualified diverse candidates, provides best practices in recruiting that align with corporate objectives/workflows/processes.",Không
Chief Executive Officer,"5+ years senior executive leadership experience in social justice/services; Commitment to eliminating racism and empowering women; Experience in homelessness, racial justice, and other YWCA missions; Strong presentation, relationship management, persuasion, negotiation, diplomacy, and listening skills N/A Minimum 5 years senior executive experience Experience leading amid macroeconomic/external forces and driving business model change (e.g. health/wellness, ECE, pandemic response, racial justice advocacy)",Oversee all aspects of facilities and programs; Work with leadership team to guide the organization; Partner with board to create and execute strategic direction for growth; Develop and maintain key community partnerships; Direct fundraising strategy and engage with major donors,Không
Marketing Visionary,"Masters degree in hospital administration, business administration, or in a field of mental health or a related area. 5 years experience as a healthcare manager with 2 years experience in an SUD environment or other behavioral health setting. Ability to communicate effectively with center administrators, clinicians, and other professionals. Experience with hospital/healthcare facility finance and budgeting. Masters degree in hospital administration, business administration, or in a field of mental health or a related area 5 years as a healthcare manager with 2 years in an SUD environment or other behavioral health setting N/A","Develops and executes strategic initiatives to achieve goals related to the successful operation of the overall strategic plan of the SUD center. Provides for communication and interface with all NewVista divisions to insure integration and compliance with all relevant federal, state and local standards, guidelines and regulations. Implements controls for the effective and efficient utilization of physical and financial resources and monitors a system of accountability for the budget of the facility.",Không
Marketing Specialist,"Expertise in communicating via social media, print publications and video production. N/A N/A N/A",Own and complete projects that increase awareness of nonprofit mission leading to greater community engagement and impact for families.,Không
Marketing Content Specialist (Remote),"Demonstrated history of creating amazing ad copy. Experience with email and/or blog marketing via tools like Mailchimp, WordPress, etc. Writing both long and short form content. Demonstrated ability to manage multiple projects simultaneously. Analytical mindset. N/A Junior-level Experience writing scripts for video or audio production. Video or audio editing experience. Expertise optimizing emails and webpages to increase conversion rate. Understanding of marketing psychology to drive sales.","Write much of the copy for the brand including website updates, landing pages, newsletters, email campaigns, digital paid media campaigns, blog posts, social media posts, video scripts and partner content. Optimize drip email marketing campaigns, landing pages and the website. Creative and strategic collaboration with the marketing, business and support teams. Coordinate with the digital marketing manager to help enhance and optimize ad buy campaigns. Implement an editorial calendar to plan timely content. Create and post engaging social media content.","Health/dental/vision insurance after 6 months. Simple IRA match of 3% available after 1 year employment. Paid federal holidays plus an extra day at Thanksgiving and Christmas. 2 weeks paid PTO to start, additional earned. Paid parental leave. Salary starts at $40k, negotiable for more experienced candidates."
Customer Service Representative,"high school diploma or GED equivalent, able to pass a criminal background check and drug screening, eager to advance your career with a reliable company, work well with a team or independently high school diploma or GED equivalent N/A N/A","handle inbound service calls, understand and strive to meet or exceed metrics while providing excellent customer service, drive customer satisfaction through voice chat and/or email communications, multitask and navigate through multiple systems","paid training, benefits including medical dental life and vision insurance company matched 401k, generous paid time off, tuition assistance, work from home benefits include saving time money and the environment"
Customer Service Representative,"2+ years of customer service experience, demonstrate excellent communication skills (written, verbal and listening) in a written assessment, ability to multitask (e.g. maintain several live chat conversations while navigating on the computer and taking notes) and perform well in a fast-paced environment, proficiency in using computers both for data entry as well as for rapid navigation through systems and the internet to search for information to help support our customers, ability to adapt to change with the business needs of the company, flexibility to shift schedule and work overtime as needed by the business unit, must bring proven ability to maintain confidentiality and secure sensitive information, high school diploma or equivalent, must be able to pass a background check High school diploma or equivalent 2 years of customer service experience N/A","Engage directly with customers who contact us for a variety of topics ranging from helping them shop for their new pet to finding that perfect chew toy or even problem-solving when something doesn’t go as planned, research and problem-solve to determine appropriate solutions for customers, think proactively and set follow-ups as needed to ensure contact resolution","Starting wage is $15 an hour with opportunities to grow and develop while working remotely, medical & dental insurance, plus more"
Coach,"Experience coaching gymnastics, especially at the competitive Xcel team level. Self-motivated with high energy. Ability to promote company core values. N/A Competitive Xcel team coach requires prior experience coaching gymnastics. Recreational coach requires some experience working with children. N/A",Coaching and leading gymnastics classes and activities for Xcel competitive team and recreational classes.,Competitive wages based on experience. Part-time evening and Saturday morning hours.
Fraud Representative,"Ability to utilize multiple programs simultaneously such as Experian, KIQ, FDWC and Accurint to perform job functions; demonstrate attention to detail and accuracy by analyzing data and drawing conclusions based upon the data; establish and meet critical deadlines while prioritizing multiple activities and complex projects simultaneously High school diploma or GED or equivalent education N/A N/A",Receive incoming investigative and verification phone calls from customers and business partners to minimize fraud loss and risk exposure; review and verify customer behavioral activity and identify potentially fraudulent activities; provide courteous and professional service to customers even in potentially escalating situations; escalate any fraud issues to the appropriate investigative unit for proper resolution; demonstrate outstanding verbal and written communication skills when working with internal and external partners,Không
HTML and Wordpress Developer,Proficiency using WordPress. Expertise in JavaScript and jQuery. Experience using debugging tools such as Firebug and Chrome Inspector. Strong understanding of frontend and backend website development. N/A N/A Stay abreast of new developments in software trends and practices.,"Design, implement and manage websites using WordPress. Collaborate with members of a creative team. Manage frontend and backend website development. Create WordPress plugins and themes. Maintain well-documented, reusable and transferrable code. Troubleshoot and resolve website problems for clients and coworkers.",Không
Wordpress Developer,"Expert with WordPress, good designing and communication skills, 1+ years experience in similar roles, proficiency in HTML, CSS and JavaScript N/A 1+ years Experience with popular page builders like Elementor, WP Bakery, Oxygen Builder, Divi theme. Knowledge of Woocommerce, website speed optimization, Chrome Inspector","Build complete websites based on client needs, provide daily updates to project manager, communicate with clients for revisions","Salary range 30,000 to 50,000 INR"
Data Entry Clerk,Proficiency in data entry. Attention to detail and accuracy. Ability to identify and flag discrepant data. Communication skills to relay issues verbally and in writing. N/A N/A N/A,"Perform data entry into web-based database program in compliance with established policies and procedures. Ensure timely and accurate processing of all designated data entry. Identify discrepant data both in writing and verbally to supervisor. File, copy, and other general clerical duties as necessary.",Flexible scheduling. Benefits for the whole family. Generous PTO.
Data Entry Clerk,Basic PC skills; internet access; webcam or smartphone camera; basic English reading/writing; basic English speaking; quiet working environment. N/A No previous experience necessary. Previous data entry or customer service experience helpful but not required.,"Take part in surveys, studies, focus groups, product testing; provide feedback on products and services; follow written and oral instructions.","Get paid for surveys and studies; payment options include PayPal, checks, gift cards; earn rewards; get free product samples."
Data Entry Clerk,"Computer with internet access, quiet workspace, ability to work independently without supervision N/A N/A Experience in healthcare, warehouse, delivery, customer service helpful but not required","Data entry and administrative tasks, work independently from home, strong communication skills, flexible and professional demeanor",Không
Data Entry Specialist,"High school diploma or equivalent. Knowledge of accounting principles, loan documentation and regulations. Ability to work under pressure, meet deadlines, make judgments and decisions. Strong customer service and analytical skills. High school diploma or equivalent. N/A Experience with loan accounting systems, monetary processing, and system maintenance functions.",Review loan documentation for complex commercial loan clients and book basic commercial loans. Participate as a team member to support specialty lines of business and provide customer service. Prioritize work for self and team.,Không
Data Entry Clerk,Proficiency in data entry and attention to detail. N/A N/A N/A,"Review, prepare and submit customer applications to insurance carriers for approval. Review and compile necessary information ensuring application packet completeness and accuracy. Verify proper formatting and submit the application using the carrier-specified channel.","Hourly pay rate. Annual bonus. Company paid insurance - medical, dental, vision, life."
Data Entry - Brecksville,50+ KPH data entry with 99% accuracy N/A N/A N/A,Data entry/keystroke input of documents,Pay rate $13/hour. Temporary assignment for approximately 6 months.
Landlord Tenant Attorney,Proficiency in landlord-tenant law N/A 2 years or more experience N/A,"Filing summonses and complaints primarily against tenants, preparing and drafting summary judgment motions, completing discovery, general litigation tasks",Competitive hourly rate
"Litigation - General/Commercial Attorney in Brooklyn, NY","At least 2 years of experience in estate planning, estate administration, civil litigation, real estate law, or elder law. Strong interpersonal skills and ability to adapt to a fast-paced environment and challenging caseload. N/A At least 2 years of relevant legal experience N/A","Handling all stages of litigation from inception through trial, including supreme court and surrogates court proceedings. Estate planning, estate administration, civil litigation, real estate law, and elder law may also be required.",Không
Program Director / Supervising Attorney,"Admission to NY bar or eligibility. 3+ years experience in legal aid, nonprofit law, or serving low-income communities. Supervisory and legal experience in commercial leasing and nonprofit transactional law. Excellent legal writing and advocacy skills. Juris Doctorate/Law degree. Minimum 3 years experience Experience with grant reporting and budget management. Bilingual in English and another language.","Supervise and coach staff attorneys and program staff. Oversee client intake, case management, and high-quality legal services. Ensure program compliance, reporting, and data management. Manage the commercial lease assistance program.",Không
Enforcement Attorney,"Admission to the New York State Bar. At least 1 year of satisfactory legal experience in the US after bar admission OR at least 6 months as an agency attorney intern. N/A 1 year of legal experience after bar admission for Assignment Level II, or 2 years for Assignment Level III. Experience with administrative proceedings, parking violations, booting/towing. Experience with STARS and NYCSERV. Excellent communication and writing skills. Ability to balance multiple assignments. Flexibility to handle changing needs.","Perform legal work involving issues of fact and questions of law relating to parking violations, priority relating to the vehicle, CPLR enforcement, and the NYS Vehicle and Traffic Law. Prepare, review and/or sign legal collection and enforcement documents. Research and prepare executions for collateral parking judgment debt. Meet with motorists to explain legal decisions. Represent the agency at administrative hearings.",Không
"Attorney, CAMBA Legal Services, Brooklyn","Juris Doctorate degree, admitted to NY state bar, knowledge of landlord-tenant law, strong analytical, writing and communication skills. Juris Doctorate degree N/A Experience in landlord-tenant law, ability to speak Haitian Creole, Arabic, Spanish, Russian or other languages.","Represent clients facing eviction and other housing issues in court and administrative hearings; conduct client interviews, draft legal motions and documents, prepare cases for hearings and trial, negotiate settlements.","Salary of $50,000 per year."
Staff Attorney,"Admission to NYS bar. Experience litigating consumer debt cases in New York preferred. Experience with Chapter 7 and/or Chapter 13 bankruptcy filings preferred. Passion for social justice and pro bono. Exceptional attention to detail. Strong negotiation and litigation skills. Strong problem solving, interpersonal, and communication skills. Flexibility, creativity, and sense of humor. Ability to prioritize and work under pressure. Professional demeanor. N/A N/A Experience litigating consumer debt cases in New York. Experience with Chapter 7 and/or Chapter 13 bankruptcy filings. Fluency in Spanish helpful but not required.","Manage all aspects of the VLFD program. Recruit volunteer attorneys. Mentor and support volunteer attorneys, law students and staff. Oversee CLARO clinics. Maintain a caseload of consumer debt and bankruptcy matters. Conduct intake and provide advice to pro se litigants. Conduct community outreach and know your rights presentations. Prepare program reports and grant proposals.","Competitive salary commensurate with experience. Benefits include medical, dental, vision, life, accidental death and disability insurance. 401k plan with employer match. Flexible spending accounts. Pretax transit program. Liberal paid time off policy."
Sales And Marketing Specialist,Sales experience in the events industry. N/A N/A N/A,Help organize and run events in addition to sales responsibilities.,Không
US Sales & Marketing - Consumer Specialist - Executive Director,"Strong knowledge of the consumer sector, excellent understanding of equity market valuations, good working knowledge of derivatives, excellent time management skills, the ability to write well and be highly articulate N/A N/A A background in equity research or sector trading or investment banking is useful though not essential","Working with trading to help monetize research calls, working closely with research to commercialize research calls, preparing daily market commentary on key newsflow, client calls and meetings on the sector, working with banking on IPO pitches, primary capital raises and secondary market blocks within the sector coverage.",Không
Sales & Marketing Specialist,"Competitive individuals with a winning mentality, team captains ready to lead and train, candidates who are serious about a long-term career with a growing industry N/A N/A N/A","Utilizing strong leadership skills to build a high performance cross-functional team environment, assisting in the daily operations with client and keeping up to date with client promotions, managing customer acquisition and retention by driving sales with a high level of customer service","Guaranteed base pay and weekly bonuses, one-on-one mentorship, paid training bonuses and weekly leadership development meetings, travel opportunities"
